UniqueID,BottleNo,True Bottle ID,NumID,Location No,Distance from Dam,Lake ID (4 dig.),Sampling Type (B/S),NH4Results,NOxResults,PO4Results,TPResults,NH4 BDL,Nox BDL,PO4 BDL,TP BDL,Microcystin Concentration,Chla (ug/L),Pheo (Avg 24 and on),NPOC (AVG) mg/L? [TOC],TN (AVG) mg/L? [TOC],Secchi Depth (m),Lat,Long,Month,Day,Year,Exclude,Date,FLIR,TIMEHHMMSS,DATEMMDDYYYY,FILENAME,FAULTCODE,BAROMETERMMHG,CONDSCM,SPCONDSCM,TDSMGL,SALPSU,NLFCONDSCM,DEPTHM,VERTICALPOSITIONM,PRESSUREPSIA,ODOSAT,ODOMGL,ODOCB,GPSLATITUDE,GPSLONGITUDE,ALTITUDEM,ORPMV,PH,PHMV,CABLEPWRV,BATTERYV,TEMPC,TURBIDITYFNU,TSSMGL,SITE
10163,20230627-MISS-S6,20230627-MISS-S?,?,?,,MISS,Shore,,,,0.088,0.05,0.05,0.05,0.05,1.572418316,66.42,NO DATA,,,,40.700673,-85.935236,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164,20230627-MISS-S7,20230627-MISS-S?,?,?,,MISS,Shore,0.0914,3.357,0.064,0.0515,0.05,3.357,0.05,0.05,3.25839487,32.98,NO DATA,,,,40.680439,-85.895401,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165,20230627-MISS-S8,20230627-MISS-S?,?,?,,MISS,Shore,0.477,4.647,0.1415,0.097,0.477,4.647,0.1415,0.05,1.094487753,57.31,NO DATA,,,,40.668534,-85.848681,6,27,2023,FALSE,6/27/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10181,20230711-MISS-B1,20230711-MISS-B1,2101,1,5999,MISS,Boat,0.0169,3.861,-0.005,0.0385,0.05,3.861,0.05,0.05,NO DATA,35.71,NO DATA,,,,40.680888,-85.889013,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10182,20230711-MISS-B2,20230711-MISS-B2,2102,2,8861,MISS,Boat,0.0284,4.19,-0.012,0.0485,0.05,4.19,0.05,0.05,NO DATA,33.13,NO DATA,,,,40.678037,-85.87621,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10183,20230711-MISS-B3,20230711-MISS-B3,2103,3,9921,MISS,Boat,0.0093,4.656,-0.01,0.044,0.05,4.656,0.05,0.05,NO DATA,33.28,NO DATA,,,,40.671594,-85.868559,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10184,20230711-MISS-B4,20230711-MISS-B4,2104,4,10891,MISS,Boat,0.012,5.915,-0.01,0.061,0.05,5.915,0.05,0.05,NO DATA,21.51,NO DATA,,,,40.663654,-85.864614,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10185,20230711-MISS-B5,20230711-MISS-B5,2105,5,12821,MISS,Boat,0.0228,6.285,-0.007,0.09,0.05,6.285,0.05,0.05,NO DATA,34.53,NO DATA,,,,40.66933,-85.845554,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10186,20230711-MISS-B6,20230711-MISS-B6,2106,6,14351,MISS,Boat,0.0483,5.734,0.002,0.0855,0.05,5.734,0.05,0.05,NO DATA,30.1,NO DATA,,,,40.674352,-85.830182,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10187,20230711-MISS-B7,20230711-MISS-B7,2107,7,6411,MISS,Boat,0.0386,3.899,-0.008,0.05225,0.05,3.899,0.05,0.05,NO DATA,40.11,NO DATA,,,,40.689432,-85.896206,7,11,2023,FALSE,7/11/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
